,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,58,65422.623046875,71945.22,102439.17,210718.53,0.8333333333333334,-0.2,0.3,5.4229045,8.536347,10.019735,2.6133204,2.9543786,3.73747
0,59,77295.013671875,71710.05,102312.64,210677.34,0.8333333333333334,-0.2,0.3,5.3743753,8.466904,9.932333,2.6140473,2.9469428,3.7364395
0,60,73350.25,71473.79,102203.33,210629.4,0.8333333333333334,-0.2,0.3,5.3504252,8.433054,9.890497,2.6247203,2.954284,3.7501712
0,61,72984.845703125,71227.11,102094.73,210632.78,0.8333333333333334,-0.15,0.3,5.4462075,8.57448,10.058221,2.6695542,3.0113454,3.8106396
0,62,75421.982421875,71021.234,102023.17,210742.22,0.85,-0.15,0.3,5.622039,8.830986,10.36286,2.735837,3.1009781,3.899926
0,63,61792.2509765625,70845.82,101974.266,210850.72,0.8666666666666667,-0.15,0.3,5.7457356,9.010342,10.576078,2.7877088,3.1702902,3.9700825
0,64,71469.64453125,70594.18,101862.164,210770.78,0.8666666666666667,-0.15,0.3,5.722868,8.969972,10.53071,2.7983284,3.1831553,3.9846776
0,65,72278.185546875,70284.49,101721.36,210540.5,0.8833333333333333,-0.15,0.3,5.5582304,8.716791,10.235835,2.7696579,3.1426194,3.9460056
0,66,71133.271484375,70034.75,101653.65,210443.72,0.8833333333333333,-0.15,0.3,5.501037,8.621715,10.130666,2.7729707,3.1483183,3.9513237
0,67,77597.96875,69813.66,101610.914,210458.55,0.8833333333333333,-0.15,0.3,5.5802264,8.730711,10.267444,2.8161032,3.2081532,4.0113764
0,68,63866.373046875,69569.85,101540.46,210397.28,0.8833333333333333,-0.15,0.3,5.576309,8.718178,10.258841,2.8362203,3.2344146,4.0400314
0,69,65652.720703125,69310.86,101468.03,210278.45,0.9166666666666666,-0.15,0.3,5.5130067,8.618651,10.147951,2.8410912,3.2384639,4.0483522
0,70,74995.0546875,69060.83,101452.164,210134.45,0.9166666666666666,-0.15,0.3,5.4225187,8.475157,9.991234,2.841751,3.239481,4.0528135
0,71,72200.873046875,68823.234,101461.516,210072.34,0.9166666666666666,-0.15,0.3,5.442163,8.495201,10.029047,2.87336,3.2831771,4.099827
0,72,76194.767578125,68610.195,101474.42,210109.95,0.9333333333333333,-0.15,0.3,5.5628867,8.666592,10.244464,2.9325094,3.3639114,4.1836696
0,73,74693.18359375,68387.21,101500.68,210072.92,0.95,-0.15,0.3,5.5967097,8.709041,10.309707,2.9701555,3.4152465,4.2389956
0,74,64489.115234375,68135.29,101509.75,209948.3,0.95,-0.15,0.3,5.541778,8.6189375,10.218323,2.9827604,3.432736,4.2598886
0,75,61517.208984375,67879.92,101507.516,209726.22,0.95,-0.15,0.3,5.3056264,8.260147,9.805124,2.9431431,3.378366,4.207668
0,76,71421.53515625,67701.93,101523.96,209664.3,0.9666666666666667,-0.15,0.3,5.1187315,7.9764695,9.473561,2.9130406,3.3362515,4.165681
0,77,76400.9609375,67495.23,101434.6,209654.66,0.9666666666666667,-0.15,0.3,5.059074,7.886664,9.363971,2.9146492,3.334947,4.165088
0,78,62836.037109375,67227.28,101250.625,209618.2,0.9666666666666667,-0.15,0.3,5.1121902,7.964119,9.451414,2.9460492,3.3741047,4.2053823
0,79,63195.1328125,66925.28,100958.805,209671.17,1.0,-0.1,0.3,5.390928,8.379872,9.933992,3.0355465,3.489936,4.3244934
0,80,71776.38671875,66837.36,100845.35,210063.33,1.0,-0.1,0.3,5.755828,8.925514,10.566575,3.1471796,3.635397,4.4726944
